id,nombre,departamento,direccion_de_entrega,latitud,longitud
d90e987a-a1f8-4507-9bc9-1373a8dd3440,TUMACO,NARIÑO,CALLE POPAYÁN CASA 24 DIVISIÓN 2,"1,8069","-78,7621"
f2c98821-9735-416a-aae5-ee69be5f3199,SAN ANDRES,SAN ANDRES Y PROVIDENCIA,"Carrera 4 # 2 - 37, Centro Comercial New Point, Piso 2, Oficina 236","12,5814","-81,6975"
3864ab76-eb76-4ca4-aab8-e5b0d69a5ade,PASTO,NARIÑO,CARRERA 29 NO.15 - 04 BARRIO BOMBONAL,"1,2156","-77,2841"
044d49e6-6f0d-45f5-9a0c-fcc6e406351d,RIOHACHA,LA GUAJIRA,CALLE 4 NO. 7 - 29 BARRIO CENTRO,"11,5465","-72,9093"
a945be85-e729-4bac-b18c-98f04eeb69fa,CAD SUBA,BOGOTA,"Avenida Calle 145 # 103b - 90, Junto al Portal del Transmilenio de Suba","4,7431","-74,0986"
245b63cc-45f1-499b-ba33-f1ce422f3fb1,SUPER CAD 30,BOGOTA,"Carrera 30 # 25 - 90, Centro Administrativo Distrital CAD","4,6281","-74,0822"
59822478-b809-477f-b55c-8f52849a0397,CUCUTA,NORTE DE SANTANDER,AVENIDA 1 NO. 18 - 69 BARRIO BLANCO,"7,8855","-72,5043"
ba858de2-5ae5-4f60-ac40-351dc5e2e7ec,POPAYAN,CAUCA,CALLE 3 # 8 - 57,"2,4422","-76,6068"
12822c75-209f-4e78-be67-7dbe957bd216,BUENAVENTURA,VALLE DEL CAUCA,Calle 57r Sur # 72d - 12 Junto al Portal de Transmilenio del Sur,"3,8801","-77,0644"
d12f6427-ad5f-455c-8071-626407555d6d,CAD BOSA,BOGOTA,Av. Calle 57r Sur # 72d - 12,"4,6065","-74,1663"
76c16351-f95c-483c-b780-8e81ec7df513,BUCARAMANGA,SANTANDER,"TRANSVERSAL 93 NO. 34 - 99 BARRIO EL TEJAR, CACIQUE CENTRO COMERCIAL SEMISOTANO LOCAL SS10 G-H","7,0948","-73,1113"
c42b9339-478f-4c20-b5ec-658e10a22599,APARTADO,ANTIOQUIA,Calle 104 # 101-15 Barrio velez piso 1 camara de comercio,"7,8829","-76,6341"
2b8990f0-db34-4d40-a45d-ef88870ed8e9,ARAUCA,ARAUCA,"Carrera 21 # 16-33, Barrio Santa Teresita","7,0848","-70,7571"
e22bd302-202d-4995-817b-448ea1c08e6d,SINCELEJO,SUCRE,"CARRERA CL. 23 #16-50, SINCELEJO, SUCRE","9,2977","-75,3949"
4f61ae80-de7e-44dc-9a1c-fc5b19fe6609,MESA AYUDA,BOGOTA,Autopista Norte No. 94 - 72,"4,6822","-74,0563"
33bfb4d1-bb14-4de3-8e18-25b4adf31d05,SANTA MARTA,MAGDALENA,CARRERA 5 NO. 23 - 131 BARRIO CENTRO,"11,2393","-74,2118"
